"1","2","3","4","5","6"
"어떤 스포츠가 가장 힘들다고 생각하시나요?","이 스포츠가 가장 힘든 이유는 무엇인가요?","이 스포츠를 얼마나 자주 즐기시나요?","이 스포츠를 얼마나 오랫동안 해오셨나요?","성별을 선택해주세요.","가장 힘든 스포츠를 결정하는 데 영향을 미치는 요소는 무엇인가요? (복수 선택 가능)"
"달리기","체력 관리와 맨탈 관리","주 1-2회","5-10년","남성","체력 소모"
"플라잉디스크","체력이 많이 소모되서","주 1-2회","10년 이상","남성","체력 소모"
"배구","공을 들어 올리는게 힘들다","주 1-2회","1년 미만","여성","기술적 난이도"
"농구, 축구","농구는 공을 골대에 넣는게 어렵고 축구는 잘 못하기도 하고 룰이 너무 복잡해서 싫어하고 힘듭니다.","거의 하지 않음","1년 미만","여성","체력 소모"
"농구","잘 못해서","거의 하지 않음","1년 미만","여성","경기 규칙의 복잡성"
"클라이밍","자칫하면 떨어지기때문에 힘을 많이 줘야한다","거의 하지 않음","1년 미만","여성","체력 소모"
"축구","체력","매일","10년 이상","기타","체력 소모"
"농구","부상이 많고 힘들어요","주 1-2회","1-3년","여성","부상의 위험"
"농구","계속해서 공수전환이 되며 코트를 계속해서 달려다녀야하고 사앧와 지속된 접촉으로 많이 힘듦","매일","5-10년","기타","체력 소모"
"수영","물, 숨을 많이 못쉬니","월 1-2회","3-5년","기타","체력 소모"
"수영","물속에서 하는 스포츠고 스포츠 특성상 몸을 많이 움직이고 숨이 많이 필요해서","월 1-2회","1-3년","남성","체력 소모"
"농구","키가 커야한다","거의 하지 않음","1년 미만","여성","체력 소모"
"축구","오랜 시간동안 쉬지 않고 뛰어야하기 때문","주 1-2회","1년 미만","여성","기술적 난이도"
"농구","몸싸움이 많고 골대에 공을 넣는게 힘들어서","거의 하지 않음","1년 미만","여성","체력 소모"
"축구","90분 내내 뛰어야함","거의 하지 않음","1년 미만","남성","체력 소모"
"축구","머리가 좋아야 하며 몸도 좋아야함","거의 하지 않음","1년 미만","남성","부상의 위험"
"축구","90분동안 오래 뛰어야하기때문에","주 3-4회","1-3년","남성","부상의 위험"
"탁구","공이 가벼워 쳐도 멀리 날라감","주 3-4회","10년 이상","남성","기술적 난이도"
"넷볼","농구공을 골대에 던지는 것을 잘해야하고 멀리던지는것을 잘해야함. 체력소모가 많이됨.","월 1-2회","1-3년","여성","체력 소모"
"농구","계속 뛰어다니기 때문에","주 3-4회","1-3년","여성","체력 소모"
"추크볼","공격하기도ㅜ힘들고 공도 잘 잡아야되어서 힘들다 하는  애들 몇명만 패스하고 경기를 해서 소외돤다","거의 하지 않음","1년 미만","여성","기술적 난이도"
"야구","잘하기 위해서는 한가지가 아닌 여러가지 면에서 뛰어나야하며 투수는 자신만의 겅을 던질 수 있어야하고 타자는 자신의 스윙을 가져가면서도 컨택을 잘해서 안타를 만들어야 한다.","주 3-4회","1-3년","남성","기술적 난이도"
"복싱/격투기","부상이 잦고 체력 소모가 심할것 같기 때문","주 1-2회","1년 미만","여성","부상의 위험"
"농구","쉬지 않고 공격  수비 반복","매일","1-3년","남성","체력 소모"
"배구","공을 맞는 방향으로 보내는게 힘들어요","주 1-2회","1년 미만","여성","기술적 난이도"
